user_id,item_id,sentiment,items_count,playtime_forever,genres,app_name,price,developer,release_year
StelerForYou,730,2,68,172753.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
Xx-Woods,346330,1,173,38.0,Action,BrainBread 2,0.0,Reperio Studios,2016.0
kevinator23,320760,1,71,705.0,Adventure,Tokyo School Life,14.99,"M2 Co.,LTD",2015.0
76561198090715178,4000,2,82,9098.0,Indie,Garry's Mod,9.99,Facepunch Studios,2006.0
76561198073784601,221100,2,69,45855.0,Action,DayZ,34.99,Bohemia Interactive,2013.0
mimimomoma,730,0,191,119850.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
de_Butl3r,209870,1,17,15802.0,Action,Blacklight: Retribution,0.0,Hardsuit Labs,2012.0
76561198027947401,322170,2,27,1292.0,Action,Geometry Dash,3.99,RobTop Games,2014.0
76561198074200011,730,2,4,68487.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
jonasdbomb,346110,1,461,6718.0,Action,ARK: Survival Evolved,59.99,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017.0
YieuwMage,730,1,70,24823.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
A-Very-Sly-Person,304930,1,45,76632.0,Action,Unturned,0.0,Smartly Dressed Games,2017.0
76561197994493402,365590,2,151,22494.0,Action,Tom Clancy’s The Division™,49.99,Massive Entertainment,2016.0
97396295,301520,2,22,1057.0,Action,Robocraft,0.0,Freejam,2017.0
DemonicWolvz,55230,2,106,2892.0,Action,Saints Row: The Third,9.99,Volition,2011.0
Myther43,273350,2,213,553.0,Action,Evolve Stage 2,0.0,Turtle Rock Studios,2015.0
getf0kinn0sc0pedm9,730,0,78,61193.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
76561198141443390,730,2,107,148507.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
whodafuqisthisguilao,730,2,41,56450.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
Magjiikal,370480,2,162,582.0,Action,Pixel Galaxy,9.99,Serenity Forge,2015.0
2768820078,287700,1,91,72.0,Action,METAL GEAR SOLID V: THE PHANTOM PAIN,19.99,Konami Digital Entertainment,2015.0
76561198056392326,259530,1,141,122.0,Action,Savant - Ascent,1.99,D-Pad Studio,2013.0
2d4nk4m3,317470,2,160,28.0,Action,Cubic Castles,0.0,Cosmic Cow LLC,2014.0
76561198078478151,730,1,23,925.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
exiaez,365450,1,37,519.0,Indie,Hacknet,9.99,Team Fractal Alligator,2015.0
76561198095921854,245620,2,82,1231.0,RPG,Tropico 5,19.99,Haemimont Games,2014.0
EizanAratoFujimaki,70,1,391,1395.0,Action,Half-Life,9.99,Valve,1998.0
76561198088944293,359550,1,131,2001.0,Action,Tom Clancy's Rainbow Six® Siege,14.99,Ubisoft Montreal,2015.0
nubquake123,265610,2,76,4884.0,Adventure,Epic Battle Fantasy 4,11.99,Matt Roszak,2014.0
Pyromanic,31280,2,41,200.0,Casual,Poker Night at the Inventory,4.99,Telltale Games,2010.0
CobRazor,252490,0,70,3621.0,Action,Rust,19.99,Facepunch Studios,2013.0
relesprit,8930,2,104,7250.0,Strategy,Sid Meier's Civilization® V,29.99,"Firaxis Games,Aspyr (Mac, Linux)",2010.0
WitchHunter4542,304930,2,75,10177.0,Action,Unturned,0.0,Smartly Dressed Games,2017.0
pwrt,230410,2,51,142589.0,Action,Warframe,0.0,Digital Extremes,2013.0
76561198115868847,219640,0,33,2003.0,Action,Chivalry: Medieval Warfare,24.99,Torn Banner Studios,2012.0
76561198031207016,8930,2,41,25902.0,Strategy,Sid Meier's Civilization® V,29.99,"Firaxis Games,Aspyr (Mac, Linux)",2010.0
76561198043458582,105600,0,168,16204.0,Action,Terraria,9.99,Re-Logic,2011.0
shark854,225540,2,37,935.0,Action,Just Cause™ 3,49.99,Avalanche Studios,2015.0
1337lolroflmao,271590,1,197,11950.0,Action,Grand Theft Auto V,39.99,Rockstar North,2015.0
76561198065593074,304930,0,111,3472.0,Action,Unturned,0.0,Smartly Dressed Games,2017.0
76561198044169764,227940,1,57,4344.0,Action,Heroes & Generals,0.0,Reto-Moto,2016.0
76561198087010391,4000,2,7,23435.0,Indie,Garry's Mod,9.99,Facepunch Studios,2006.0
66666669999999,302830,1,121,52.0,Action,BLOCKADE 3D,0.0,Shumkov Dmitriy,2014.0
76561198061174192,220200,2,131,8368.0,Indie,Kerbal Space Program,39.99,Squad,2015.0
Mastic,304050,2,365,133.0,Action,Trove,0.0,Trion Worlds,2015.0
76561198028286104,10180,2,30,10169.0,Action,Call of Duty®: Modern Warfare® 2,19.99,"Infinity Ward,Aspyr (Mac)",2009.0
tarjla,242760,2,193,6368.0,Action,The Forest,14.99,Endnight Games Ltd,2014.0
deathnz1,233110,0,250,665.0,Indie,Defense Technica,14.99,Kuno Interactive,2013.0
76561198104393251,304930,1,51,5012.0,Action,Unturned,0.0,Smartly Dressed Games,2017.0
76561198075322986,730,1,91,39916.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
redsncrimson,448530,2,65,240.0,Indie,Square's Route,3.99,Black Death Apps Limited,2016.0
76561198151910904,252950,2,38,3779.0,Action,Rocket League®,19.99,"Psyonix, Inc.",2015.0
76561198071214618,268750,2,93,1085.0,Action,Magicite,9.99,SmashGames,2014.0
t8s,360870,2,70,5.0,Casual,Ultimate Tic-Tac-Toe,0.0,Tigerish Games,2015.0
pikawuu2,230410,2,100,178021.0,Action,Warframe,0.0,Digital Extremes,2013.0
Sammeh00,301520,1,96,20972.0,Action,Robocraft,0.0,Freejam,2017.0
Michaelele,6060,0,66,3192.0,Action,"Star Wars: Battlefront 2 (Classic, 2005)",9.99,Pandemic Studios,2005.0
76561198045754869,335670,0,124,2892.0,Adventure,LISA,9.99,Dingaling,2014.0
76561198076098774,215080,2,9,27931.0,Adventure,WAKFU,0.0,Ankama Studio,2014.0
76561198048417105,271590,1,12,21181.0,Action,Grand Theft Auto V,39.99,Rockstar North,2015.0
76561198090842891,8190,1,40,6531.0,Action,Just Cause 2,14.99,Avalanche Studios,2010.0
adohya343,303390,1,137,15.0,Action,Dead Bits,0.99,Microblast Games,2014.0
76561198145436942,221100,2,34,67256.0,Action,DayZ,34.99,Bohemia Interactive,2013.0
3xotic26,500,2,153,12599.0,Action,Left 4 Dead,19.99,Valve,2008.0
iamthetrashlord,206420,1,191,5118.0,Action,Saints Row IV,14.99,Deep Silver Volition,2013.0
76561198079990063,231040,2,26,644.0,Action,Beatbuddy: Tale of the Guardians,9.99,Threaks,2013.0
L4M1NAS,227940,2,74,2524.0,Action,Heroes & Generals,0.0,Reto-Moto,2016.0
76561198096766604,301520,1,48,1780.0,Action,Robocraft,0.0,Freejam,2017.0
mrpfresh,236110,0,791,410.0,Action,Dungeon Defenders II,0.0,Trendy Entertainment,2017.0
chidori_647,219990,0,723,2893.0,Action,Grim Dawn,24.99,Crate Entertainment,2016.0
76561198092227136,730,2,333,18795.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
hellcat59,4000,1,55,11658.0,Indie,Garry's Mod,9.99,Facepunch Studios,2006.0
tbimperator,35450,2,279,2806.0,Action,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,19.99,Tripwire Interactive,2011.0
Allahu_Akbar666,230410,2,86,41994.0,Action,Warframe,0.0,Digital Extremes,2013.0
ulramite,290020,1,135,104.0,Indie,LogicBots,19.99,Incandescent Games,2017.0
76561198054040292,298260,1,90,144.0,Adventure,Only If,0.0,Creability,2014.0
I_DID_911_JUST_SAYING,214420,2,154,42.0,Action,Gear Up,0.0,Doctor Entertainment AB,2015.0
750805,369070,0,690,429.0,Action,Slain: Back from Hell,12.99,Andrew Gilmour,2016.0
76561198054465623,302830,2,230,78.0,Action,BLOCKADE 3D,0.0,Shumkov Dmitriy,2014.0
FrankoWalker,310370,1,53,21.0,Free to Play,The Way of Life Free Edition,0.0,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita",2016.0
SALTTHEW0UND,248820,1,114,1412.0,Action,Risk of Rain,9.99,"Hopoo Games, LLC",2013.0
express157,304930,2,75,752.0,Action,Unturned,0.0,Smartly Dressed Games,2017.0
76561198074644990,242760,1,132,1791.0,Action,The Forest,14.99,Endnight Games Ltd,2014.0
76561198064304806,730,0,36,131044.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
TomoeMamiewe,10150,1,63,810.0,Action,Prototype™,19.99,Radical Entertainment,2009.0
76561198057086148,214950,1,66,10354.0,Strategy,Total War™: ROME II - Emperor Edition,59.95,Creative Assembly,2013.0
AddzyTheBaddzy,291550,2,138,4498.0,Action,Brawlhalla,0.0,Blue Mammoth Games,2017.0
mradobe7,275850,0,250,862.0,Action,No Man's Sky,59.99,Hello Games,2016.0
76561198167207237,337320,1,58,2673.0,Action,Paint the Town Red,14.99,South East Games,2015.0
cancerkek,730,1,50,42758.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
76561198073508075,10090,2,47,9411.0,Action,Call of Duty: World at War,19.99,Treyarch,2008.0
76561198090899557,252490,0,62,507.0,Action,Rust,19.99,Facepunch Studios,2013.0
Agiegamma,208090,2,109,162.0,Action,Loadout,0.0,Edge of Reality,2014.0
UnholyFallenAngel,262410,2,83,69.0,Free to Play,World of Guns: Gun Disassembly,0.0,Noble Empire Corp.,2014.0
76561198068565589,221100,1,120,3066.0,Action,DayZ,34.99,Bohemia Interactive,2013.0
SlutOnTheSpit,4000,2,62,533.0,Indie,Garry's Mod,9.99,Facepunch Studios,2006.0
NaruseAiria,317360,2,390,82.0,Action,Double Action: Boogaloo,0.0,Double Action Factory,2014.0
76561198067713802,239660,1,46,335.0,Action,Soldier Front 2,0.0,Dragonfly,2013.0
76561198187212131,730,2,29,78414.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
Albolah,283920,1,11,50.0,Adventure,Putt-Putt® Joins the Parade,6.99,Humongous Entertainment,1992.0
76561198003056556,432020,0,557,28.0,Simulation,What's under your blanket !?,0.99,5Wolf,2016.0
maxpaynepillkiller,319630,0,207,998.0,Action,Life is Strange - Episode 1,0.0,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015.0
76561198095481910,208090,0,74,1908.0,Action,Loadout,0.0,Edge of Reality,2014.0
76561198164545985,730,2,4,24908.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
AlkalineDeath,228280,1,53,3965.0,RPG,Baldur's Gate: Enhanced Edition,19.99,Beamdog,2013.0
mintifreshbadger,35450,1,101,8285.0,Action,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,19.99,Tripwire Interactive,2011.0
AlpacaRevolution,9900,2,57,77986.0,Free to Play,Star Trek Online,0.0,Cryptic Studios,2010.0
AlphaBryn444,236370,1,99,293.0,Action,Interstellar Marines,9.99,Zero Point Software,2013.0
smegmyfoodle,346010,2,78,786.0,Indie,Besiege,7.99,Spiderling Studios,2015.0
76561198057869849,313120,2,84,427.0,Adventure,Stranded Deep,14.99,Beam Team Games,2015.0
AMV72,206440,0,1041,298.0,Adventure,To the Moon,9.99,Freebird Games,2011.0
76561198085956238,224540,0,88,100.0,Action,Ace of Spades: Battle Builder,14.99,Jagex Limited,2012.0
711armageddoncarmageddon,113020,1,96,87.0,Action,Monaco: What's Yours Is Mine,14.99,Pocketwatch Games,2013.0
Andraison,22230,0,84,38.0,Action,Rock of Ages,9.99,ACE Team,2011.0
76561198099625419,230410,1,198,630.0,Action,Warframe,0.0,Digital Extremes,2013.0
76561198084032274,227940,0,70,8925.0,Action,Heroes & Generals,0.0,Reto-Moto,2016.0
Angrovar,17390,2,82,3274.0,Simulation,SPORE™,19.99,Maxis™,2008.0
AngryAinsley,317360,1,101,250.0,Action,Double Action: Boogaloo,0.0,Double Action Factory,2014.0
uradumbtit,274310,2,246,659.0,Indie,Always Sometimes Monsters,9.99,Vagabond Dog,2014.0
IKillNoobsFirst,730,2,48,126915.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
1234865654,22380,2,76,5578.0,Action,Fallout: New Vegas,9.99,Obsidian Entertainment,2010.0
76561198084123358,9900,2,35,153999.0,Free to Play,Star Trek Online,0.0,Cryptic Studios,2010.0
Apachehavoc,107410,1,81,19977.0,Action,Arma 3,39.99,Bohemia Interactive,2013.0
ApexNZ,221640,2,62,26.0,Action,Super Hexagon,2.99,Terry Cavanagh,2012.0
76561198039441595,113020,1,389,493.0,Action,Monaco: What's Yours Is Mine,14.99,Pocketwatch Games,2013.0
76561198036687918,377160,1,130,12331.0,RPG,Fallout 4,29.99,Bethesda Game Studios,2015.0
benjamin27,730,2,105,9915.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
AppoGetsSuperAdmin,212500,1,54,3328.0,Free to Play,The Lord of the Rings Online™,0.0,"Standing Stone Games, LLC",2012.0
XABLAUziitu,214420,1,86,123.0,Action,Gear Up,0.0,Doctor Entertainment AB,2015.0
76561198012909706,218130,2,182,214.0,Action,Dungeonland,0.0,Critical Studio,2013.0
76561198040530605,270210,1,120,1709.0,Indie,Melody's Escape,9.99,Icetesy SPRL,2016.0
76561197974500703,8980,0,309,4720.0,Action,Borderlands,19.99,Gearbox Software,2009.0
76561198047185525,213670,2,114,1590.0,Action,South Park™: The Stick of Truth™,29.99,Obsidian Entertainment,2014.0
sweep6060,391540,0,107,1221.0,Indie,Undertale,9.99,tobyfox,2015.0
76561198088538797,209870,2,53,2756.0,Action,Blacklight: Retribution,0.0,Hardsuit Labs,2012.0
deployablearchnagel,265630,1,119,1477.0,Action,Fistful of Frags,0.0,Fistful of Frags Team,2014.0
armouredmarshmallow,33230,2,119,2420.0,Action,Assassin's Creed 2 Deluxe Edition,19.99,Ubisoft Montreal,2010.0
76561198020928326,70,1,110,5599.0,Action,Half-Life,9.99,Valve,1998.0
76561198039874575,221100,0,103,5099.0,Action,DayZ,34.99,Bohemia Interactive,2013.0
arronlim13,99900,2,131,19338.0,Action,Spiral Knights,0.0,Grey Havens,2011.0
Mackus1011,211820,2,267,2853.0,Action,Starbound,14.99,Chucklefish,2016.0
76561198041877981,2450,1,83,135.0,Action,Bloody Good Time,4.99,Outerlight Ltd.,2010.0
darkmassieh,47780,2,174,893.0,Action,Dead Space™ 2,19.99,Visceral Games,2011.0
asianturtlefrenzy,246420,1,87,532.0,Action,Kingdom Rush,9.99,Ironhide Game Studio,2014.0
76561198082992295,4000,1,21,3625.0,Indie,Garry's Mod,9.99,Facepunch Studios,2006.0
LaLocaDeLosDulces,80,1,48,4079.0,Action,Counter-Strike: Condition Zero,9.99,Valve,2004.0
assassin_warman,257850,1,165,1125.0,Action,Hyper Light Drifter,19.99,Heart Machine,2016.0
Astrelt,385770,2,297,1323.0,Action,Time Clickers,0.0,Proton Studio Inc,2015.0
76561198091740831,387990,1,25,273.0,Action,Scrap Mechanic,19.99,Axolot Games,2016.0
76561198053071988,271590,0,174,1052.0,Action,Grand Theft Auto V,39.99,Rockstar North,2015.0
76561198083375450,225640,1,215,5445.0,RPG,Sacred 2 Gold,14.99,Ascaron,2012.0
auzmoz,17100,1,49,12029.0,Strategy,Children of the Nile: Enhanced Edition,7.99,"Tilted Mill Entertainment, Inc.",2008.0
auzzie_96,289130,2,92,88.0,RPG,Endless Legend™,29.99,AMPLITUDE Studios,2014.0
fatrangacuntnolifevirgin,202970,2,52,260.0,Action,Call of Duty®: Black Ops II,59.99,Treyarch,2012.0
76561198064150679,20920,2,86,2049.0,RPG,The Witcher 2: Assassins of Kings Enhanced Edition,19.99,CD PROJEKT RED,2011.0
76561198110293299,265930,2,80,862.0,Casual,Goat Simulator,9.99,Coffee Stain Studios,2014.0
de_triggered,270370,0,53,2915.0,Free to Play,Lambda Wars Beta,0.0,Vortal Storm,2014.0
76561198071748311,391540,2,29,842.0,Indie,Undertale,9.99,tobyfox,2015.0
Azrafael,215530,1,73,1432.0,Action,The Incredible Adventures of Van Helsing,14.99,NeocoreGames,2013.0
TeH-B-Rad,730,1,128,92064.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
BAW_Killer,221100,0,134,98931.0,Action,DayZ,34.99,Bohemia Interactive,2013.0
gamerdude7892,22380,1,72,5584.0,Action,Fallout: New Vegas,9.99,Obsidian Entertainment,2010.0
BBBirb,4000,2,51,84082.0,Indie,Garry's Mod,9.99,Facepunch Studios,2006.0
potatoskins,233270,2,72,16.0,Action,Far Cry 3 - Blood Dragon,14.99,Ubisoft Montreal,2013.0
crispymemesmantheyremyfavourite,230410,2,97,1188.0,Action,Warframe,0.0,Digital Extremes,2013.0
76561198074409406,391460,0,57,31.0,Action,WARMODE,0.0,WARTEAM,2015.0
H-Alo,346010,1,86,171.0,Indie,Besiege,7.99,Spiderling Studios,2015.0
420Blz,107410,2,199,22443.0,Action,Arma 3,39.99,Bohemia Interactive,2013.0
76561198076548816,200210,0,73,2911.0,Action,Realm of the Mad God,0.0,Wild Shadow Studios,2012.0
chillrend,221100,1,56,40749.0,Action,DayZ,34.99,Bohemia Interactive,2013.0
lukeyturley,730,2,42,17727.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
BOB_200,8400,1,121,74.0,Casual,Geometry Wars: Retro Evolved,3.99,Bizarre Creations,2007.0
76561198047208452,220240,2,285,18798.0,Action,Far Cry 3,19.99,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",2012.0
generalale,239160,0,59,141.0,Action,Thief,29.99,"Eidos-Montréal,Feral Interactive (Mac)",2014.0
76561198071234254,200210,1,50,427.0,Action,Realm of the Mad God,0.0,Wild Shadow Studios,2012.0
76561198047304525,239070,1,177,1830.0,Action,Hammerwatch,9.99,Crackshell,2013.0
JuanManSnipez,730,2,102,21721.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
Bennysaputra,10,1,87,24336.0,Action,Counter-Strike,9.99,Valve,2000.0
76561198067021476,730,0,44,35502.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
76561198190487725,252490,1,38,29678.0,Action,Rust,19.99,Facepunch Studios,2013.0
76561198045071942,310380,2,67,15.0,Action,Fractured Space,0.0,Edge Case Games Ltd.,2016.0
Bhappiikhat,304930,2,29,1989.0,Action,Unturned,0.0,Smartly Dressed Games,2017.0
Ahahahahahahahahahahahahahahaha,363970,1,59,199170.0,Adventure,Clicker Heroes,0.0,Playsaurus,2015.0
Too_1337,220,2,264,654.0,Action,Half-Life 2,9.99,Valve,2004.0
kinglemon1222,48700,2,128,77887.0,Action,Mount & Blade: Warband,19.99,TaleWorlds Entertainment,2010.0
76561198007342405,364360,1,214,2773.0,Action,Total War: WARHAMMER,59.99,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)",2016.0
76561198081885254,265630,1,34,59.0,Action,Fistful of Frags,0.0,Fistful of Frags Team,2014.0
LlamasInNigjamas,730,0,39,32206.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
CHAAANG,10680,0,78,5920.0,Action,Aliens vs. Predator™,14.99,Rebellion,2010.0
bitmat,300570,1,385,637.0,Indie,Infinifactory,24.99,Zachtronics,2015.0
Ghoster09,206210,1,54,1436.0,Action,Gotham City Impostors Free to Play,0.0,"Monolith Productions, Inc.",2012.0
76561198081496844,6060,2,80,419.0,Action,"Star Wars: Battlefront 2 (Classic, 2005)",9.99,Pandemic Studios,2005.0
Barridos,4000,1,45,5740.0,Indie,Garry's Mod,9.99,Facepunch Studios,2006.0
Blackhawk611,364360,1,125,3122.0,Action,Total War: WARHAMMER,59.99,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)",2016.0
76561197988863895,238430,2,97,240.0,Action,Contagion,9.99,"Monochrome, Inc",2013.0
hbk1462,4000,2,75,2678.0,Indie,Garry's Mod,9.99,Facepunch Studios,2006.0
76561198057521157,344760,1,88,5787.0,Action,Reign Of Kings,19.99,Code}{atch,2015.0
76561198053766465,374320,2,73,14809.0,Action,DARK SOULS™ III,59.99,"FromSoftware, Inc.",2016.0
FHK,237930,2,104,1213.0,Action,Transistor,19.99,Supergiant Games,2014.0
Bluegills,293780,2,1280,183.0,Action,Crawl,14.99,Powerhoof,2017.0
rrbr,244050,0,111,15.0,Free to Play,Rise of Flight United,0.0,777 Studios,2013.0
13lazer,33930,1,398,3506.0,Action,Arma 2: Operation Arrowhead,19.99,Bohemia Interactive,2010.0
76561198044344399,352460,1,84,836.0,Action,Dead Realm,14.99,Section Studios,2015.0
bobseagull,730,2,137,32687.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
Bonesdontrattlethem,4000,1,199,54990.0,Indie,Garry's Mod,9.99,Facepunch Studios,2006.0
76561198062403736,335300,1,118,5475.0,Action,DARK SOULS™ II: Scholar of the First Sin,39.99,"FromSoftware, Inc",2015.0
76561198073642113,550,0,76,2313.0,Action,Left 4 Dead 2,19.99,Valve,2009.0
ilyjoepoe,318430,2,10,80.0,Adventure,Squishy the Suicidal Pig,1.99,"Tomi Maarela,Elias Viglione",2014.0
76561198027225504,230410,2,161,2409.0,Action,Warframe,0.0,Digital Extremes,2013.0
dicksoutforboromir,334230,0,156,3286.0,Indie,Town of Salem,4.99,BlankMediaGames,2014.0
probotsteve,730,1,244,89411.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
76561197977543317,243470,0,159,213.0,Action,Watch_Dogs™,29.99,Ubisoft,2014.0
76561198064026657,96100,2,193,139.0,Action,Defy Gravity Extended,1.99,Paul Fisch,2016.0
76561198024450886,213650,1,40,827.0,Casual,Dwarfs - F2P,0.0,Power of 2,2012.0
saint556,429720,2,583,185.0,Adventure,IMSCARED,3.99,Ivan Zanotti's MyMadness Works,2016.0
brettebear,220780,2,87,155.0,Indie,Thomas Was Alone,9.99,Bithell Games,2012.0
metiqu,730,1,23,85681.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
spike_heart,237740,1,116,44.0,Action,Angry Video Game Nerd Adventures,4.99,FreakZone Games,2013.0
brocky0405,6830,1,99,12.0,Action,Commandos 2: Men of Courage,4.99,Pyro Studios,2002.0
Vladimirputinisgreatman,385770,2,237,26704.0,Action,Time Clickers,0.0,Proton Studio Inc,2015.0
Br0wni3,730,2,25,118813.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
76561198079351819,316010,1,35,8637.0,Free to Play,Magic Duels,0.0,Stainless Games Ltd.,2015.0
76561198110065267,10090,1,101,1227.0,Action,Call of Duty: World at War,19.99,Treyarch,2008.0
76561198059167106,41300,2,66,413.0,Action,Altitude,0.0,Nimbly Games,2009.0
